Start - 2018-08-08
14:37:22: 39: ** ERROR ** : RecordType: AAAA | RequestId: 10062 | SrcIP: 176.10.99.200  |  SrcPort: 44636  |  Domain: ns2.dnsTeStSuITE.spAce
14:37:22: 40: ** ERROR ** : RecordType: AAAA | RequestId: 60714 | SrcIP: 176.10.99.200  |  SrcPort: 20080  |  Domain: ns.dnsTeStSuITE.spAce
14:37:22: 41: ** ERROR ** : RecordType: AAAA | RequestId: 50938 | SrcIP: 176.10.99.200  |  SrcPort: 9840  |  Domain: ns2.dnsTeStSuITE.spAce
14:37:22: 42: ** ERROR ** : RecordType: AAAA | RequestId: 16320 | SrcIP: 176.10.99.200  |  SrcPort: 46108  |  Domain: ns.dnsTeStSuITE.spAce
14:37:35: 43: RecordType: A | RequestId: 1980 | SrcIP: 176.10.99.200  |  SrcPort: 9478  |  Domain: ns2.dnsTeStSuITE.spAce
14:37:35: 44: RecordType: A | RequestId: 42993 | SrcIP: 176.10.99.200  |  SrcPort: 18214  |  Domain: ns.dnsTeStSuITE.spAce
14:38:17: 45: RecordType: A | RequestId: 19242 | SrcIP: 176.10.99.200  |  SrcPort: 34938  |  Domain: 74_176-10-99-206.dnsTESTSUiTE.SPACe
14:38:17: 46: RecordType: A | RequestId: 35529 | SrcIP: 176.10.99.200  |  SrcPort: 45428  |  Domain: ns2.dnstestsuite.space
14:38:17: 47: RecordType: A | RequestId: 10235 | SrcIP: 176.10.99.200  |  SrcPort: 38238  |  Domain: ns.dnstestsuite.space
14:38:17: 48: ** ERROR ** : RecordType: AAAA | RequestId: 59240 | SrcIP: 176.10.99.200  |  SrcPort: 10295  |  Domain: ns2.dnstestsuite.space
14:38:17: 49: ** ERROR ** : RecordType: AAAA | RequestId: 11374 | SrcIP: 176.10.99.200  |  SrcPort: 26295  |  Domain: ns.dnstestsuite.space
14:38:17: 50: ** ERROR ** : RecordType: AAAA | RequestId: 60286 | SrcIP: 176.10.99.200  |  SrcPort: 8719  |  Domain: ns2.dnstestsuite.space
14:38:17: 51: ** ERROR ** : RecordType: AAAA | RequestId: 29716 | SrcIP: 176.10.99.200  |  SrcPort: 58074  |  Domain: ns.dnstestsuite.space
14:38:18: 52: ** ERROR ** : RecordType: AAAA | RequestId: 63880 | SrcIP: 176.10.99.200  |  SrcPort: 44679  |  Domain: ns2.dnstestsuite.space
14:38:18: 53: ** ERROR ** : RecordType: AAAA | RequestId: 50140 | SrcIP: 176.10.99.200  |  SrcPort: 14901  |  Domain: ns.dnstestsuite.space
14:38:18: 54: ** ERROR ** : RecordType: AAAA | RequestId: 33672 | SrcIP: 176.10.99.200  |  SrcPort: 54921  |  Domain: ns2.dnstestsuite.space
