Start - 2018-08-09
00:56:21: 39: RecordType: A | RequestId: 3860 | SrcIP: 82.196.193.202  |  SrcPort: 52954  |  Domain: 14_31-185-27-203.DnSTEstsuiTE.sPacE
00:56:22: 40: RecordType: A | RequestId: 29329 | SrcIP: 82.196.193.204  |  SrcPort: 51360  |  Domain: ns.dnstestsuite.space
00:56:22: 41: ** ERROR ** : RecordType: AAAA | RequestId: 2612 | SrcIP: 82.196.193.204  |  SrcPort: 47911  |  Domain: ns.dnstestsuite.space
00:56:22: 42: ** ERROR ** : RecordType: AAAA | RequestId: 26165 | SrcIP: 82.196.193.204  |  SrcPort: 29451  |  Domain: ns.dnstestsuite.space
00:56:22: 43: ** ERROR ** : RecordType: AAAA | RequestId: 56703 | SrcIP: 82.196.193.204  |  SrcPort: 25818  |  Domain: ns.dnstestsuite.space
00:56:22: 44: ** ERROR ** : RecordType: AAAA | RequestId: 22710 | SrcIP: 82.196.193.202  |  SrcPort: 60380  |  Domain: ns.dnstestsuite.space
00:56:22: 45: ** ERROR ** : RecordType: AAAA | RequestId: 44966 | SrcIP: 82.196.193.204  |  SrcPort: 16267  |  Domain: ns.dnstestsuite.space
00:56:58: 46: RecordType: A | RequestId: 40338 | SrcIP: 82.196.193.202  |  SrcPort: 37925  |  Domain: 15_31-185-27-203.dnStESTSUItE.spACe
00:57:02: 47: ** ERROR ** : RecordType: AAAA | RequestId: 32764 | SrcIP: 82.196.193.204  |  SrcPort: 61843  |  Domain: ns.dnstestsuite.space
00:57:02: 48: ** ERROR ** : RecordType: AAAA | RequestId: 6537 | SrcIP: 82.196.193.202  |  SrcPort: 25330  |  Domain: ns.dnstestsuite.space
00:57:02: 49: ** ERROR ** : RecordType: AAAA | RequestId: 17913 | SrcIP: 82.196.193.202  |  SrcPort: 46211  |  Domain: ns.dnstestsuite.space
00:57:03: 50: ** ERROR ** : RecordType: AAAA | RequestId: 64823 | SrcIP: 82.196.193.204  |  SrcPort: 47195  |  Domain: ns.dnstestsuite.space
00:57:03: 51: ** ERROR ** : RecordType: AAAA | RequestId: 15280 | SrcIP: 82.196.193.202  |  SrcPort: 25504  |  Domain: ns.dnstestsuite.space
00:57:03: 52: ** ERROR ** : RecordType: AAAA | RequestId: 9165 | SrcIP: 82.196.193.202  |  SrcPort: 60606  |  Domain: ns2.dnstestsuite.space
00:57:03: 53: ** ERROR ** : RecordType: AAAA | RequestId: 41555 | SrcIP: 82.196.193.204  |  SrcPort: 39233  |  Domain: ns2.dnstestsuite.space
00:57:03: 54: ** ERROR ** : RecordType: AAAA | RequestId: 39297 | SrcIP: 82.196.193.204  |  SrcPort: 49979  |  Domain: ns2.dnstestsuite.space
00:57:03: 55: ** ERROR ** : RecordType: AAAA | RequestId: 30889 | SrcIP: 82.196.193.202  |  SrcPort: 55021  |  Domain: ns2.dnstestsuite.space
00:57:03: 56: ** ERROR ** : RecordType: AAAA | RequestId: 64828 | SrcIP: 82.196.193.202  |  SrcPort: 40434  |  Domain: ns2.dnstestsuite.space
00:57:42: 57: ** ERROR ** : RecordType: AAAA | RequestId: 18027 | SrcIP: 82.196.193.202  |  SrcPort: 52031  |  Domain: ns.dnstestsuite.space
00:57:42: 58: ** ERROR ** : RecordType: AAAA | RequestId: 26238 | SrcIP: 82.196.193.202  |  SrcPort: 11521  |  Domain: ns.dnstestsuite.space
00:57:43: 59: ** ERROR ** : RecordType: AAAA | RequestId: 12287 | SrcIP: 82.196.193.202  |  SrcPort: 46986  |  Domain: ns.dnstestsuite.space
00:57:43: 60: ** ERROR ** : RecordType: AAAA | RequestId: 19440 | SrcIP: 82.196.193.204  |  SrcPort: 18965  |  Domain: ns.dnstestsuite.space
00:57:43: 61: ** ERROR ** : RecordType: AAAA | RequestId: 64830 | SrcIP: 82.196.193.204  |  SrcPort: 18347  |  Domain: ns.dnstestsuite.space
00:57:43: 62: ** ERROR ** : RecordType: AAAA | RequestId: 45734 | SrcIP: 82.196.193.204  |  SrcPort: 43193  |  Domain: ns2.dnstestsuite.space
00:57:43: 63: ** ERROR ** : RecordType: AAAA | RequestId: 3026 | SrcIP: 82.196.193.204  |  SrcPort: 60834  |  Domain: ns2.dnstestsuite.space
00:57:43: 64: ** ERROR ** : RecordType: AAAA | RequestId: 57264 | SrcIP: 82.196.193.204  |  SrcPort: 40410  |  Domain: ns2.dnstestsuite.space
00:57:43: 65: ** ERROR ** : RecordType: AAAA | RequestId: 49198 | SrcIP: 82.196.193.204  |  SrcPort: 20384  |  Domain: ns2.dnstestsuite.space
00:57:43: 66: ** ERROR ** : RecordType: AAAA | RequestId: 64957 | SrcIP: 82.196.193.204  |  SrcPort: 47420  |  Domain: ns2.dnstestsuite.space
00:57:43: 67: RecordType: A | RequestId: 9374 | SrcIP: 82.196.193.202  |  SrcPort: 37515  |  Domain: 17_31-185-27-203.DnSTestsUITE.SPACe
00:57:44: 68: RecordType: A | RequestId: 11063 | SrcIP: 82.196.193.202  |  SrcPort: 30176  |  Domain: 18_31-185-27-203.DNSTesTsuIte.SPacE
00:57:45: 69: RecordType: A | RequestId: 11205 | SrcIP: 82.196.193.204  |  SrcPort: 53960  |  Domain: 19_31-185-27-203.dnsTEStSuiTE.spAcE
00:57:46: 70: RecordType: A | RequestId: 43344 | SrcIP: 82.196.193.204  |  SrcPort: 60797  |  Domain: 20_31-185-27-203.DnstEsTsuITe.SPACE
00:57:47: 71: RecordType: A | RequestId: 19961 | SrcIP: 82.196.193.202  |  SrcPort: 25661  |  Domain: 21_31-185-27-203.DNstesTsuite.SpAcE
00:57:48: 72: RecordType: A | RequestId: 8826 | SrcIP: 82.196.193.204  |  SrcPort: 35918  |  Domain: 22_31-185-27-203.DnSTEstsuItE.sPacE
00:57:49: 73: ** ERROR ** : RecordType: AAAA | RequestId: 3934 | SrcIP: 82.196.193.204  |  SrcPort: 44416  |  Domain: ns.dnstestsuite.space
00:57:49: 74: ** ERROR ** : RecordType: AAAA | RequestId: 33266 | SrcIP: 82.196.193.202  |  SrcPort: 15715  |  Domain: ns.dnstestsuite.space
00:57:49: 75: ** ERROR ** : RecordType: AAAA | RequestId: 15828 | SrcIP: 82.196.193.204  |  SrcPort: 58263  |  Domain: ns.dnstestsuite.space
00:57:49: 76: ** ERROR ** : RecordType: AAAA | RequestId: 3262 | SrcIP: 82.196.193.204  |  SrcPort: 63201  |  Domain: ns.dnstestsuite.space
00:57:49: 77: ** ERROR ** : RecordType: AAAA | RequestId: 27452 | SrcIP: 82.196.193.204  |  SrcPort: 55846  |  Domain: ns.dnstestsuite.space
00:57:49: 78: ** ERROR ** : RecordType: AAAA | RequestId: 7342 | SrcIP: 82.196.193.204  |  SrcPort: 28485  |  Domain: ns2.dnstestsuite.space
00:57:49: 79: ** ERROR ** : RecordType: AAAA | RequestId: 62742 | SrcIP: 82.196.193.204  |  SrcPort: 50039  |  Domain: ns2.dnstestsuite.space
00:57:49: 80: ** ERROR ** : RecordType: AAAA | RequestId: 13507 | SrcIP: 82.196.193.202  |  SrcPort: 38406  |  Domain: ns2.dnstestsuite.space
00:57:50: 81: ** ERROR ** : RecordType: AAAA | RequestId: 64222 | SrcIP: 82.196.193.202  |  SrcPort: 18581  |  Domain: ns2.dnstestsuite.space
00:57:50: 82: ** ERROR ** : RecordType: AAAA | RequestId: 38371 | SrcIP: 82.196.193.202  |  SrcPort: 25513  |  Domain: ns2.dnstestsuite.space
00:57:50: 83: RecordType: A | RequestId: 61537 | SrcIP: 82.196.193.204  |  SrcPort: 62084  |  Domain: 23_31-185-27-203.DnSteSTSuite.Space
00:57:50: 84: RecordType: A | RequestId: 34513 | SrcIP: 82.196.193.204  |  SrcPort: 4978  |  Domain: 16_31-185-27-203.dnstEstsuite.sPACE
