Start - 2018-07-17
00:16:14: 75: RecordType: A | RequestId: 4312 | SrcIP: 139.99.128.97  |  SrcPort: 20169  |  Domain : 37_139-99-130-178.DnsTeSTSuITe.SpAce
00:16:15: 76: RecordType: A | RequestId: 10917 | SrcIP: 74.125.41.79  |  SrcPort: 42538  |  Domain : 38_139-99-130-178.dNStesTsUiTE.spacE
00:16:17: 77: RecordType: A | RequestId: 16024 | SrcIP: 74.125.41.2  |  SrcPort: 63517  |  Domain : 39_139-99-130-178.DnStESTsuItE.sPACe
00:16:18: 78: RecordType: A | RequestId: 57108 | SrcIP: 172.217.42.11  |  SrcPort: 56907  |  Domain : 40_139-99-130-178.dNstESTsUiTE.SPacE
00:16:20: 79: RecordType: A | RequestId: 64434 | SrcIP: 139.99.130.178  |  SrcPort: 10924  |  Domain : 41_139-99-130-178.dNSTESTsUITE.sPACe
00:16:21: 80: RecordType: A | RequestId: 41042 | SrcIP: 139.99.128.97  |  SrcPort: 38703  |  Domain : 42_139-99-130-178.dNStEstsUIte.SPaCe
00:16:22: 81: RecordType: A | RequestId: 8905 | SrcIP: 172.217.42.8  |  SrcPort: 62128  |  Domain : 43_139-99-130-178.DnSTeStsuIte.SpAcE
00:16:24: 82: RecordType: A | RequestId: 43412 | SrcIP: 139.99.128.97  |  SrcPort: 40810  |  Domain : 44_139-99-130-178.dnstEStsuITE.SPAcE
00:16:25: 83: RecordType: A | RequestId: 20135 | SrcIP: 139.99.130.178  |  SrcPort: 31827  |  Domain : 45_139-99-130-178.DnSTeSTsUite.SpaCe
00:16:27: 84: RecordType: A | RequestId: 34612 | SrcIP: 139.99.130.178  |  SrcPort: 52086  |  Domain : 46_139-99-130-178.DnstestsUITE.SpAce
00:16:28: 85: RecordType: A | RequestId: 47574 | SrcIP: 139.99.130.178  |  SrcPort: 36151  |  Domain : 47_139-99-130-178.dNSTEstsuite.spACe
00:16:29: 86: RecordType: A | RequestId: 7805 | SrcIP: 139.99.128.97  |  SrcPort: 52701  |  Domain : 48_139-99-130-178.DNstEsTsuIte.SPACe
00:16:31: 87: RecordType: A | RequestId: 14966 | SrcIP: 139.99.128.97  |  SrcPort: 59204  |  Domain : 49_139-99-130-178.DNsTEStSUiTE.sPaCE
00:16:32: 88: RecordType: A | RequestId: 35211 | SrcIP: 139.99.128.97  |  SrcPort: 42204  |  Domain : 50_139-99-130-178.DNStestsuIte.SPAcE
00:16:34: 89: RecordType: A | RequestId: 6796 | SrcIP: 173.194.171.11  |  SrcPort: 53602  |  Domain : 51_139-99-130-178.DnSTeStsUITe.SpACE
00:16:35: 90: RecordType: A | RequestId: 33596 | SrcIP: 74.125.41.81  |  SrcPort: 35008  |  Domain : 52_139-99-130-178.dNSteSTsuiTE.sPACE
00:16:37: 91: RecordType: A | RequestId: 41279 | SrcIP: 139.99.130.178  |  SrcPort: 55191  |  Domain : 53_139-99-130-178.DnSTEsTsuitE.SpaCe
00:16:38: 92: RecordType: A | RequestId: 8101 | SrcIP: 139.99.128.97  |  SrcPort: 12979  |  Domain : 54_139-99-130-178.dNStEsTSUite.SpacE
00:16:39: 93: RecordType: A | RequestId: 45299 | SrcIP: 173.194.171.11  |  SrcPort: 40415  |  Domain : 55_139-99-130-178.DnSTEstsUite.spAcE
00:16:41: 94: RecordType: A | RequestId: 65222 | SrcIP: 139.99.128.97  |  SrcPort: 39372  |  Domain : 56_139-99-130-178.dNStesTSUITE.SPaCE
00:16:42: 95: RecordType: A | RequestId: 45049 | SrcIP: 139.99.130.178  |  SrcPort: 8505  |  Domain : 57_139-99-130-178.DNStESTsuIte.spaCE
00:16:43: 96: RecordType: A | RequestId: 6989 | SrcIP: 139.99.128.97  |  SrcPort: 38422  |  Domain : 58_139-99-130-178.DNstEStSUITe.spaCe
00:16:45: 97: RecordType: A | RequestId: 35460 | SrcIP: 139.99.130.178  |  SrcPort: 10079  |  Domain : 59_139-99-130-178.DnSteSTsUiTE.sPaCe
00:16:46: 98: RecordType: A | RequestId: 52762 | SrcIP: 139.99.128.97  |  SrcPort: 22718  |  Domain : 60_139-99-130-178.DNsteStSUITE.SpAce
00:16:47: 99: RecordType: A | RequestId: 18721 | SrcIP: 139.99.128.97  |  SrcPort: 57747  |  Domain : 61_139-99-130-178.DnsteStsUITE.SPACe
00:16:49: 100: RecordType: A | RequestId: 54366 | SrcIP: 139.99.130.178  |  SrcPort: 26110  |  Domain : 62_139-99-130-178.DnSteSTSuItE.space
00:16:50: 101: RecordType: A | RequestId: 24408 | SrcIP: 173.194.93.15  |  SrcPort: 40394  |  Domain : 63_139-99-130-178.DNStesTSUITE.sPace
00:16:52: 102: RecordType: A | RequestId: 22195 | SrcIP: 139.99.130.178  |  SrcPort: 27618  |  Domain : 64_139-99-130-178.dnstEStsuItE.sPAce
00:16:53: 103: RecordType: A | RequestId: 2271 | SrcIP: 139.99.128.97  |  SrcPort: 8190  |  Domain : 65_139-99-130-178.DNSteStSuiTE.SPAce
00:16:54: 104: RecordType: A | RequestId: 2026 | SrcIP: 74.125.41.19  |  SrcPort: 38121  |  Domain : 66_139-99-130-178.DnsteStSuItE.sPace
00:16:56: 105: RecordType: A | RequestId: 49541 | SrcIP: 139.99.128.97  |  SrcPort: 59533  |  Domain : 67_139-99-130-178.dNStestSUitE.SPACE
00:16:57: 106: RecordType: A | RequestId: 23578 | SrcIP: 139.99.130.178  |  SrcPort: 21516  |  Domain : 68_139-99-130-178.DnSteSTsuiTe.SPACe
