Start - 2018-08-07
00:00:00: 'AAAA'
00:00:26: 9720: RecordType: A | RequestId: 3150 | SrcIP: 91.198.250.2  |  SrcPort: 38087  |  Domain: 77_80-241-60-207.DnstestSuItE.SpAce
00:00:27: 9721: RecordType: A | RequestId: 215 | SrcIP: 195.10.208.2  |  SrcPort: 47622  |  Domain: 78_80-241-60-207.DnstesTsUite.spAce
00:00:27: 9722: RecordType: A | RequestId: 9606 | SrcIP: 80.241.59.2  |  SrcPort: 42840  |  Domain: 79_80-241-60-207.dNsteSTSUiTe.spAce
00:00:28: 9723: RecordType: A | RequestId: 29273 | SrcIP: 91.198.250.2  |  SrcPort: 60902  |  Domain: 80_80-241-60-207.DNStesTSUiTe.sPacE
00:00:28: 9724: RecordType: A | RequestId: 49022 | SrcIP: 195.10.208.2  |  SrcPort: 50995  |  Domain: 81_80-241-60-207.dnSTesTsuITE.SPace
00:00:29: 9725: RecordType: A | RequestId: 35358 | SrcIP: 80.241.59.2  |  SrcPort: 60099  |  Domain: 82_80-241-60-207.dNStesTSuITE.space
00:00:29: 9726: RecordType: A | RequestId: 29475 | SrcIP: 91.198.250.2  |  SrcPort: 37041  |  Domain: 83_80-241-60-207.DNStesTSuItE.SPacE
00:00:30: 9727: RecordType: A | RequestId: 47684 | SrcIP: 195.10.208.2  |  SrcPort: 47878  |  Domain: 84_80-241-60-207.dNStEsTsUITE.sPAcE
00:00:30: 9728: RecordType: A | RequestId: 3530 | SrcIP: 80.241.59.2  |  SrcPort: 57290  |  Domain: 85_80-241-60-207.DnSTEstsuitE.space
00:00:31: 9729: RecordType: A | RequestId: 54503 | SrcIP: 91.198.250.2  |  SrcPort: 46422  |  Domain: 86_80-241-60-207.dnSTESTSUitE.sPAcE
00:00:31: 9730: RecordType: A | RequestId: 40656 | SrcIP: 195.10.208.2  |  SrcPort: 56887  |  Domain: 87_80-241-60-207.dNSTESTSuITe.SpaCe
00:00:32: 9731: RecordType: A | RequestId: 9848 | SrcIP: 80.241.59.2  |  SrcPort: 49286  |  Domain: 88_80-241-60-207.dNstESTSuIte.SPacE
00:00:32: 9732: RecordType: A | RequestId: 27227 | SrcIP: 91.198.250.2  |  SrcPort: 52609  |  Domain: 89_80-241-60-207.dNsTESTSuite.spACe
00:00:33: 9733: RecordType: A | RequestId: 34556 | SrcIP: 195.10.208.2  |  SrcPort: 39381  |  Domain: 90_80-241-60-207.dnstEsTsuite.sPAcE
00:00:33: 9734: RecordType: A | RequestId: 54295 | SrcIP: 80.241.59.2  |  SrcPort: 47232  |  Domain: 91_80-241-60-207.DNSTESTsuIte.SpaCE
00:00:34: 9735: RecordType: A | RequestId: 30915 | SrcIP: 91.198.250.2  |  SrcPort: 39735  |  Domain: 92_80-241-60-207.DNsteStsUiTe.space
00:00:34: 9736: RecordType: A | RequestId: 8090 | SrcIP: 195.10.208.2  |  SrcPort: 36862  |  Domain: 93_80-241-60-207.dnsteStsUIte.sPAce
00:00:35: 9737: RecordType: A | RequestId: 998 | SrcIP: 80.241.59.2  |  SrcPort: 43348  |  Domain: 94_80-241-60-207.dnstEsTSuiTe.spAce
00:00:35: 9738: RecordType: A | RequestId: 11211 | SrcIP: 91.198.250.2  |  SrcPort: 44354  |  Domain: 95_80-241-60-207.DNsteStsuiTe.spaCe
00:00:36: 9739: RecordType: A | RequestId: 56422 | SrcIP: 195.10.208.2  |  SrcPort: 49031  |  Domain: 96_80-241-60-207.dnsTeStSUIte.SpacE
00:00:36: 9740: RecordType: A | RequestId: 50735 | SrcIP: 80.241.59.2  |  SrcPort: 40532  |  Domain: 97_80-241-60-207.DNsteSTSuItE.sPACE
00:00:37: 9741: RecordType: A | RequestId: 62292 | SrcIP: 91.198.250.2  |  SrcPort: 59828  |  Domain: 98_80-241-60-207.dNsteStSuItE.spACE
00:00:37: 9742: RecordType: A | RequestId: 22514 | SrcIP: 195.10.208.2  |  SrcPort: 47880  |  Domain: 99_80-241-60-207.dnSTEstSuiTE.SPACE
